name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,position,unique_id
Ryan_Bertrand_330,0,771,3,2,1,291,6,79,584,379.4000000000001,5,0,0,26,42,1,82.6,326.8,22,2160,0,13,388,0,0,0,0,76,0,745,0,7225424,22,12,10,48,62,123,56,-221099,139276,360375,1842,19.0,0,8,608,76,475779
Ryan_Fraser_40,14,1194,26,2,23,751,9,49,923,1382.4,24,0,0,6,64,7,301.2,930.6,93,3165,10,48,416,0,0,0,0,136,0,741,0,47005749,55,10,11,51,75,696,181,1245420,3904067,2658647,2309,19.0,2,2,76,114,57019
Ryan_Fredericks_408,0,433,1,1,4,169,3,59,308,77.20000000000002,10,1,0,9,16,1,42.00000000000001,254.8,3,1084,1,4,382,0,1,0,0,52,0,741,0,532015,11,10,1,47,60,85,38,-18929,13557,32486,1750,19.0,0,5,722,76,588411
Ryan_Schofield_533,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,376,0,0,0,0,0,0,735,0,240804,0,0,0,39,49,0,0,2394,10478,8084,1400,17.0,0,0,350,35,707700
Ryan_Sessegnon_184,7,683,6,8,3,295,3,56,501,468.30000000000007,32,0,1,20,60,2,132.0,410.39999999999975,32,2291,15,4,402,0,0,0,0,136,0,740,0,6424913,87,15,12,48,67,438,94,-391910,64377,456287,2308,19.0,0,0,342,114,264955
Sadio_Man?_251,3,1184,6,10,24,703,19,29,926,692.8000000000001,53,0,1,33,21,22,304.0,1015.8000000000001,45,3076,25,6,396,0,0,0,0,153,0,741,0,65941310,97,25,34,44,67,1332,231,1187821,4505959,3318138,3721,19.0,6,2,456,114,361703
Salom?n_Rond?n_493,8,737,4,4,20,466,9,46,517,468.0000000000001,16,0,0,22,31,11,236.00000000000006,645.5999999999999,32,2601,20,4,390,0,0,0,0,108,0,741,0,8626938,101,3,31,43,47,1249,148,374580,1230277,855697,2216,19.0,3,1,570,152,711151
Sam_Baldock_64,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,414,0,0,0,0,0,0,751,0,758159,0,0,0,44,51,0,0,-15140,1769,16909,1710,19.0,0,0,114,152,91675
Sam_Byram_404,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,382,0,0,0,0,0,0,741,0,55876,0,0,0,47,60,0,0,-2658,128,2786,1710,19.0,0,0,722,76,582635
Sam_Gallagher_574,0,6,0,0,0,6,0,1,1,0.3,0,0,0,4,1,0,0.0,0.0,0,32,0,0,175,0,0,0,0,1,0,514,0,114776,2,0,0,21,30,0,4,7704,19757,12053,765,9.0,0,0,272,68,361760
Sam_McQueen_334,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,388,0,0,0,0,0,0,745,0,1409894,0,0,0,48,62,0,0,-47065,5526,52591,1520,19.0,0,0,608,76,481555
Sam_Surridge_599,0,5,0,1,0,3,0,0,3,11.8,0,0,0,0,0,0,4.0,5.0,1,11,0,0,138,0,0,0,0,1,0,416,0,79716,0,0,1,22,23,23,2,5103,14007,8904,585,6.0,0,0,26,52,281359
Sam_Vokes_84,0,268,0,3,7,130,2,18,135,108.59999999999998,3,0,0,14,20,3,54.3,152.0,8,907,7,0,412,0,0,0,0,10,0,741,0,2282103,13,2,11,53,60,292,48,-36004,187099,223103,2022,19.0,1,0,152,152,120555
Sam_Woods_609,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,44,0,0,0,0,0,0,213,0,2362,0,0,0,13,10,0,0,553,851,298,240,3.0,0,0,42,12,130491
Samir_Nasri_569,2,155,1,0,0,61,1,2,137,86.6,2,0,0,3,2,0,16.4,49.8,6,243,3,1,187,0,0,0,0,9,0,531,0,562845,2,0,2,18,32,28,14,6762,155052,148290,940,9.0,0,0,342,54,381483
Sandro_Ram?rez_470,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,404,0,0,0,0,0,0,739,0,253516,0,0,0,45,55,0,0,-10467,2405,12872,2054,19.0,0,0,304,152,677939
Scott_Dann_139,1,264,2,0,0,129,2,62,194,22.500000000000004,3,0,0,4,10,0,28.1,186.20000000000002,2,661,0,0,406,0,0,0,0,29,0,742,0,38929,1,1,3,55,49,71,23,3334,5853,2519,1677,19.0,0,1,266,76,199975
Scott_Malone_196,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,400,0,0,0,0,0,0,741,0,3601441,0,0,0,43,55,0,0,-182565,840,183405,1520,19.0,0,0,380,76,282283
