Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Kayal,BHA,MID,44,51.7,173.2,29.0,25.4,10,1,1,0,0,0,0,4,0,1.1,597,0,22
Keane,EVE,DEF,50,60.3,256.0,158.0,47.7,11,1,2,0,0,0,0,0,0,3.4,900,9,49
Kebano,FUL,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Keita,LIV,MID,72,66.6,71.6,78.0,21.7,0,0,0,0,0,0,0,0,0,1.8,437,0,19
Kelly,CRY,DEF,39,4.9,61.2,0.0,6.6,5,0,0,0,0,0,0,0,0,6.0,210,0,3
Kenedy,NEW,MID,49,88.1,155.8,232.0,47.6,8,1,1,0,1,0,0,0,0,1.6,848,1,32
Kenny,EVE,DEF,43,35.1,69.4,7.0,11.1,6,0,1,0,0,0,0,0,0,0.2,360,0,13
Kepa,CHE,GKP,55,0.1,193.4,0.0,19.3,8,0,0,0,0,0,23,0,0,5.4,1080,1,51
Ki Sung-yueng,NEW,MID,47,76.5,57.0,18.0,15.2,5,0,1,0,0,0,0,0,0,0.1,323,0,11
Kiko Femenia,WAT,DEF,43,59.7,114.2,21.0,19.4,7,0,1,0,0,0,0,0,0,1.9,504,3,27
King,BOU,FWD,63,149.5,208.6,260.0,61.4,9,4,1,0,0,0,0,1,0,2.3,779,8,44
Klaassen,EVE,MID,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Klavan,LIV,DEF,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
